UF,Cod.Item,Produto,CFOP,NCM,ID utilização,Utilização,Valor,ICMS
AL,10184,SAB TERR BENJOIM 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,1273.33,0.0
AL,10186,SAB TERR CALENDULA 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,1056.33,0.0
AL,10189,SAB TERR CAST BRASIL 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,455.65,0.0
AL,10191,SAB LIQ TERR CAST BRASIL 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,1987.1,0.0
AL,10194,SAB LIQ TERR CALENDULA 300 ML,5405,3401.30.00,10,Vda/Dev Vda Mer,7260.2,0.0
AL,10197,HIDRAT TERR CALENDULA 300 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,6386.45,0.0
AL,10198,HIDRAT TERR CAST BRASIL 300 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,1929.63,0.0
AL,10203,SAB TRAD ODOR DE ROSAS 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,444.67,0.0
AL,10205,SAB TRAD NATURELLE 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,233.2,0.0
AL,10207,SAB TRAD AMAZONIAN 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,118.8,0.0
AL,10209,SAB TRAD TOQUE DE LAVANDA 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,258.22,0.0
AL,10211,SAB TRAD FRESCOR DA MANHA 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,209.54,0.0
AL,10219,SAB TRAD RAIZ DO ORIENTE 90 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,75.62,0.0
AL,10221,SAB MEDIT ALFAZEMA 100 GR,6108,3401.11.90,10,Vda/Dev Vda Mer,24.0,1.68
AL,10221,SAB MEDIT ALFAZEMA 100 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,832.56,0.0
AL,10238,SAB AGUAS LAVANDA 150 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,15349.94,0.0
AL,10240,SAB AGUAS NEROLI 150 GR,5405,3401.11.90,10,Vda/Dev Vda Mer,12652.25,0.0
AL,10244,SH TERR CAST BRASIL 180 ML,5405,3305.10.00,10,Vda/Dev Vda Mer,2539.59,0.0
AL,10245,SH TERR SETE ERVAS 180 ML,5405,3305.10.00,10,Vda/Dev Vda Mer,1493.8,0.0
AL,10246,SH TERR SALVIA CONFREY 180 ML,5405,3305.10.00,10,Vda/Dev Vda Mer,1625.4,0.0
AL,10247,COND TERR CAST BRASIL 180 ML,5405,3305.90.00,10,Vda/Dev Vda Mer,1958.11,0.0
AL,10250,COND TERR SETE ERVAS 180 ML,5405,3305.90.00,10,Vda/Dev Vda Mer,1172.72,0.0
AL,10251,COND TERR SALVIA CONFREY 180 ML,5405,3305.90.00,10,Vda/Dev Vda Mer,1006.49,0.0
AL,10261,OLEO TERR CALENDULA 120 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,3689.7,0.0
AL,10264,OLEO TERR CAST BRASIL 120 ML,5405,3304.99.90,10,Vda/Dev Vda Mer,1409.42,0.0
AL,10271,VELA TERR CALENDULA 180 GR,5102,3406.00.00,10,Vda/Dev Vda Mer,6054.98,1157.34
AL,10280,MANTEIGA TERR CAST BRASIL 200 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,2888.99,0.0
AL,10281,MANTEIGA TERR CALENDULA 200 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,9271.55,0.0
AL,10284,ESFOLIANTE TERR CALENDULA 200 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,7631.99,0.0
AL,10285,ESFOLIANTE TERR CAST BRASIL 200 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,1734.05,0.0
AL,10287,SAIS DE BANHO TERR CALENDULA 5X15 GR,5405,3307.30.00,10,Vda/Dev Vda Mer,1755.0,0.0
AL,10302,LOCAO FACIAL HIDRA C 50 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,3753.18,0.0
AL,10622,DIFUSOR TERR LAVANDA 250 ML,5102,3307.49.00,10,Vda/Dev Vda Mer,15402.36,2946.22
AL,10626,VELA TERR LAVANDA 180 GR,5102,3406.00.00,10,Vda/Dev Vda Mer,7350.62,1397.64
AL,10736,CR CUTICULAS PINK 100 GR,5405,3304.30.00,10,Vda/Dev Vda Mer,1872.65,0.0
AL,10939,GEL PARA CALOS E BOLHAS PINK 45 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,4276.11,0.0
AL,10951,DES AEROSOL ANTISSEP FRESH 100 ML,5405,3307.20.10,10,Vda/Dev Vda Mer,1793.6,0.0
AL,10953,CR MAOS ANTI ODOR PINK 60 GR,5405,3304.99.90,10,Vda/Dev Vda Mer,5396.28,0.0
